,en,cy,zh
NEW_GAMES,    New Games,    Gemau Newydd,    新遊戲
POPULAR_GAMES,    Popular Games,    Gemau Poblogaidd,    熱門遊戲
SEE_MORE,See More,Gweld Mwy,看更多
CATEGORIES,Categories,Categorïau,類別
SEARCH_BAR,Search Nucli.io Games,Chwilio Gemau Nucli.io,搜尋 Nucli.io 遊戲
PROFILE,Profile,Proffil,側面像
SAVE_ANALITICS,Save Analitics?,,
SAVE_DESKTOP,Save to Desktop :),,
DONT_SAVE,Quit Without Saving :(,,
NEW,New,,
FEATURED,Featured,,
POPULAR,Popular,,
RANDOM,Random,,
ADVENTURE,Adventure,,
STRATEGY,Strategy,,
PUZZLE,Puzzle,,
HORROR,Horror,,
SURVIVAL,Survival,,
SIMULATION,Simulation,,
FPS,FPS,,
DRIVING,Driving,,
SOLO,Solo,,
CO_OP,Co-op Multiplayer,,
PVP,PvP Multiplayer,,
SETTINGS,Settings,,
DASHBOARD,Creator Dashboard,,
SIGN_OUT,Sign Out,,
SIGN_IN,Sign In,,
NOTIFICATIONS,Notifications,,
NO_NOTIFICATIONS,No New Notifications,,
THEME,Theme,,
LANGUAGE,Language,,
AD,Advertisement,,
TITLE_,TITLE:,,
ADD_TITLE,Title of your game,,
DESCRIPTION_,DESCRIPTION:,,
ADD_DESCRIPTION,Description and Instructions for your game,,
AGE_RESTRICTION,AGE RESTRICTION:,,
AGE_RESTRICT_DROPDOWN,Is this game suitable for all?,,
ADD_TO_PLAYLIST,PLAYLIST:,,
ADD_TO_PLAYLIST_DROPDOWN,Add to one of your game playlists,,
ADD_TAGS,GAME TAGS:,,
SEARCH_TAGS,Search Tags,,
GAME_FILE_UPLOAD,GAME FILE:,,
UPLOAD_FILE,"Upload your file
We recommend a .ZIP file",,
ADD_COVER_ART,COVER ART:,,
UPLOAD_COVER_ART,Choose a file,,
MORE_OPTIONS,MORE OPTIONS,,
CREATOR_DASHBOARD,CREATOR DASHBOARD,,
UPLOAD_NEW,UPLOAD NEW CREATION,,
CREATOR_ANALITICS,CREATOR ANALYTICS,,
YOUR_GAMES,YOUR GAMES,,
GAME_ANALITICS,YOUR GAME ANALYTICS,,
PROMOTE_GAME,PROMOTE YOUR GAME,,
SHARE_PROFILE,SHARE YOUR PROFILE,,
HELP,HELP,,
REPORT_PROBLEM,REPORT A PROBLEM,,
UPLOAD_NEW_LABEL,UPLOAD NEW CREATION,,
